15:53:24.100 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 1
15:53:33.540 [TestNG-tests-1] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
15:53:33.607 [TestNG-tests-1] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
15:53:33.607 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
15:53:33.649 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
15:53:33.662 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 1
15:53:45.370 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
15:53:45.385 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
15:53:45.431 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
15:53:45.431 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
15:53:45.433 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
15:53:45.433 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
15:53:45.451 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
15:53:45.453 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
15:53:46.318 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
15:53:46.359 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
15:53:46.367 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
15:53:46.372 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 2
15:53:46.404 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
15:53:46.410 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 2
15:53:50.892 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
15:53:50.911 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
15:53:50.920 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
15:53:50.921 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
15:53:50.933 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
15:53:50.940 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
15:53:50.941 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
15:53:50.952 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
15:53:51.815 [TestNG-tests-2] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
15:53:51.815 [TestNG-tests-1] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
15:53:54.977 [TestNG-tests-2] INFO  BasePackage.BaseClass - WebDriver has been closed.
15:53:54.988 [TestNG-tests-1] INFO  BasePackage.BaseClass - WebDriver has been closed.
15:59:29.206 [TestNG-tests-1] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
15:59:33.537 [TestNG-tests-1] INFO  BasePackage.BaseClass - Switching to the iframe
15:59:33.588 [TestNG-tests-1] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
15:59:33.732 [TestNG-tests-2] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
15:59:36.685 [TestNG-tests-2] INFO  BasePackage.BaseClass - Switching to the iframe
15:59:36.717 [TestNG-tests-2] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
15:59:46.616 [TestNG-tests-1] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
15:59:46.616 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
15:59:46.657 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
15:59:46.666 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 1
15:59:54.397 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
15:59:54.436 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
15:59:54.437 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
15:59:54.449 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
15:59:54.463 [TestNG-tests-2] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
15:59:54.463 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
15:59:54.499 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
15:59:54.513 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 1
15:59:56.036 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
15:59:56.061 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
15:59:56.066 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 2
15:59:58.122 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
15:59:58.143 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
